Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
5655,1.5,Premium,E,VS2,61.8,59.0,7.31,7.38,4.54,14790
17500,0.3,Ideal,D,VVS2,60.7,58.0,4.3,4.33,2.62,814
26587,0.39,Ideal,F,VVS1,62.1,55.0,4.69,4.71,2.92,1124
13298,0.53,Ideal,I,VS1,62.3,56.0,5.19,5.23,3.24,1427
875,1.0,Good,G,SI2,61.7,63.0,6.36,6.37,3.93,4493
11990,2.02,Fair,J,SI2,64.6,55.0,7.93,7.84,5.09,9853
25667,0.71,Ideal,I,VVS2,62.4,54.0,5.72,5.75,3.58,2308
9742,0.77,Ideal,F,SI2,61.3,56.0,5.89,5.92,3.62,2729
17507,1.14,Fair,G,VS1,57.5,67.0,0.0,0.0,0.0,6381
24140,0.91,Premium,F,SI2,58.9,61.0,6.36,6.33,3.74,3546
26639,0.3,Very Good,D,VS1,63.2,59.0,4.26,4.29,2.7,707
17199,1.0,Premium,G,VVS1,62.1,59.0,6.29,6.4,3.94,8008
13934,0.43,Ideal,E,SI1,62.9,56.0,4.83,4.8,3.03,1016
2530,1.27,Premium,J,SI2,60.4,58.0,7.04,7.0,4.24,4660
14510,0.41,Ideal,I,VVS1,61.8,55.0,4.76,4.79,2.95,863
9257,1.0,Premium,H,SI1,59.4,58.0,6.51,6.46,3.85,4788
24726,1.1,Ideal,E,VVS1,61.1,56.0,6.69,6.73,4.1,12748
12672,1.9,Premium,F,SI2,62.9,61.0,7.78,7.73,4.88,12812
19720,0.72,Ideal,H,IF,61.4,56.0,5.76,5.8,3.55,3257
1166,1.0,Good,I,VS1,63.7,56.0,6.34,6.32,4.03,5018
2631,1.2,Ideal,G,VS1,62.4,57.0,6.8,6.78,4.24,8701
4560,0.26,Very Good,E,IF,58.7,63.0,4.19,4.23,2.47,547
22342,0.71,Ideal,D,SI2,61.3,57.0,5.71,5.78,3.52,2610
15503,2.28,Ideal,J,VS1,62.6,54.2,8.37,8.41,5.25,16592
4588,0.4,Ideal,I,IF,62.4,56.0,4.73,4.7,2.94,1050
72,0.44,Ideal,I,VVS2,60.8,56.0,4.9,4.93,2.99,912
24835,0.35,Ideal,H,IF,62.1,54.0,4.55,4.59,2.84,887
10844,0.9,Fair,E,VS2,64.5,61.0,6.07,6.03,3.9,4125
11443,1.5,Very Good,H,VVS2,62.9,59.0,7.26,7.31,4.58,11748
20774,0.78,Ideal,F,SI1,61.0,55.0,6.0,5.96,3.65,3036
16526,0.41,Good,F,VVS2,63.6,56.0,4.72,4.68,2.99,1064
6096,1.02,Ideal,H,SI2,61.4,58.0,6.47,6.52,3.99,4766
4886,0.7,Premium,D,SI2,62.1,60.0,5.73,5.71,3.55,2319
21442,0.54,Premium,H,SI2,61.8,60.0,5.2,5.16,3.2,972
26779,0.27,Very Good,E,VVS2,63.8,54.0,4.06,4.09,2.6,621
10814,1.06,Premium,E,SI2,60.5,60.0,6.61,6.67,4.02,4652
12907,0.33,Premium,G,VS2,62.6,58.0,4.44,4.41,2.77,743
19394,1.03,Ideal,F,I1,61.1,55.0,6.51,6.54,3.99,3444
26543,0.5,Ideal,G,VS2,62.6,57.0,5.11,5.05,3.18,1424
3342,0.32,Ideal,F,VVS1,61.8,56.0,4.45,4.42,2.74,990
14918,1.34,Ideal,D,I1,61.7,55.0,7.12,7.08,4.38,6303
12426,0.53,Ideal,D,VS2,61.1,56.0,5.28,5.24,3.21,1825
5943,1.7,Very Good,I,VS2,63.0,58.0,7.52,7.65,4.78,10935
13268,0.35,Premium,I,VS2,,58.0,4.55,4.57,2.79,491
2160,0.27,Very Good,E,VS1,62.9,56.0,4.12,4.15,2.6,470
6392,0.41,Very Good,E,SI1,63.1,57.0,4.78,4.73,3.0,904
6390,0.41,Ideal,D,SI1,61.7,56.0,4.77,4.8,2.95,744
12626,0.9,Ideal,E,VS2,62.3,57.0,6.16,6.19,3.85,6018
8914,1.59,Premium,E,SI1,58.8,59.0,7.69,7.61,4.5,9705
478,0.55,Ideal,E,SI1,60.9,56.0,5.32,5.28,3.23,1556
10642,0.89,Fair,G,SI2,58.9,66.0,6.26,6.16,3.66,2579
4821,1.11,Ideal,E,SI1,62.1,55.0,6.66,6.68,4.14,7218
18476,0.51,Premium,I,VS2,62.9,55.0,5.12,5.08,3.21,1179
6335,1.71,Ideal,D,SI1,60.3,60.0,7.69,7.77,4.66,16575
15682,1.52,Very Good,F,SI1,61.4,59.0,7.39,7.46,4.56,11776
23657,0.24,Very Good,F,VVS2,60.5,59.0,3.98,4.05,2.43,552
8981,0.55,Ideal,G,VS2,61.4,56.3,5.26,5.29,3.24,1662
1786,0.55,Ideal,E,VS2,61.5,57.0,5.25,5.29,3.24,1665
15216,0.32,Very Good,H,SI1,62.6,55.0,4.37,4.38,2.74,461
26845,1.01,Good,G,VS2,63.6,60.0,6.35,6.3,4.02,5701
3924,0.7,Very Good,H,SI1,62.0,60.0,5.65,5.7,3.52,2048
23704,0.3,Ideal,G,VS1,61.8,55.0,4.33,4.31,2.67,776
9844,0.71,Ideal,H,SI1,61.3,58.0,5.73,5.78,3.53,2368
15002,1.08,Ideal,H,VS1,62.0,55.0,6.56,6.6,4.08,6562
4286,0.32,Ideal,F,VVS1,61.7,55.0,4.38,4.43,2.72,867
3260,0.69,Ideal,G,SI1,62.4,56.0,5.66,5.69,3.55,2297
17219,1.01,Very Good,D,SI2,61.8,60.0,6.37,6.41,3.95,4588
